"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.030851000E0,9.948377265E-4,1.308996929E-3,1.396263397E-4
1.034851000E0,6.806784077E-4,4.537856148E-4,3.769911127E-3
1.038851000E0,1.954768784E-3,6.806784077E-4,-1.448623254E-3
1.042851000E0,1.082104165E-3,1.047197497E-3,-9.948377265E-4
1.046851000E0,8.552113432E-4,9.948377265E-4,-4.188790335E-4
1.050851000E0,1.553343027E-3,3.665191471E-4,-2.792526793E-4
1.054851000E0,-6.981316983E-5,2.094395168E-4,-2.443460980E-4
1.058851000E0,5.410520826E-4,1.745329209E-4,-1.134464052E-3
1.062851000E0,7.155850180E-4,4.537856148E-4,-4.712388909E-4
1.066854125E0,6.108652451E-4,8.377580671E-4,-7.330382941E-4
1.070854125E0,1.221730490E-4,1.745329209E-4,-8.203047328E-4
1.074851000E0,1.570796303E-4,1.221730490E-3,-3.839724232E-4
1.078851000E0,0.000000000E0,4.363323096E-4,-7.155850180E-4
1.082851000E0,-7.679448463E-4,9.773843922E-4,-8.028514567E-4
1.086851000E0,2.094395168E-4,1.570796361E-3,-8.377580671E-4
1.090854125E0,-5.585053586E-4,1.431170036E-3,-8.377580671E-4
1.094852563E0,-1.745329246E-5,1.099557383E-3,-8.377580671E-4
1.098851000E0,5.585053586E-4,5.585053586E-4,-3.839724232E-4
1.102851000E0,5.585053586E-4,1.466076588E-3,-2.617993741E-4
1.106851000E0,8.726646192E-4,1.396263367E-3,5.235987919E-5
1.110851000E0,4.886921961E-4,-1.047197584E-4,-7.504915702E-4
1.114851000E0,1.047197584E-4,5.235987483E-4,-9.773843922E-4
1.118851000E0,4.363323096E-4,1.151917269E-3,-8.726646192E-4
1.122851000E0,8.726646047E-5,1.029744279E-3,-4.014257283E-4
1.126851000E0,2.967059845E-4,9.773843922E-4,-7.155850180E-4
1.130851000E0,6.457717973E-4,3.665191471E-4,-5.061454722E-4
1.134851000E0,5.934119690E-4,9.599310579E-4,-5.934119690E-4
1.138851000E0,8.726646192E-4,5.235987483E-4,-3.316125658E-4
1.142851000E0,4.886921961E-4,1.745329238E-3,-4.014257283E-4
1.146851000E0,-3.316125658E-4,1.780235791E-3,-2.792526793E-4
1.150851000E0,-5.585053586E-4,1.483529806E-3,-8.726646047E-5
1.154851000E0,-1.745329209E-4,9.599310579E-4,-3.490658419E-4
1.158851000E0,5.235987483E-4,6.632251316E-4,-5.585053586E-4
1.162851000E0,2.617993741E-4,5.934119690E-4,-3.141592606E-4
1.166851000E0,1.745329209E-4,5.759586347E-4,-2.443460980E-4
1.170851000E0,-4.188790335E-4,1.308996929E-3,-6.806784077E-4
1.174851000E0,4.537856148E-4,-1.221730490E-4,-8.028514567E-4
1.178851000E0,-5.235987919E-5,5.235987483E-4,-8.203047328E-4
1.182851000E0,-3.490658492E-5,6.981316837E-4,-6.806784077E-4
1.186851000E0,1.047197584E-4,5.934119690E-4,-9.424777818E-4
1.190851000E0,2.967059845E-4,4.188790335E-4,-8.726646192E-4
1.194851000E0,-3.839724232E-4,5.235987483E-4,-8.377580671E-4
1.198851000E0,1.745329246E-5,1.762782573E-3,-1.291543595E-3
1.202851000E0,2.792526793E-4,7.330382941E-4,-1.553343027E-3
1.206851000E0,1.239183708E-3,1.570796303E-4,-1.244419720E-2
1.210851000E0,5.934119690E-4,9.075712296E-4,-3.441789374E-2
1.214851000E0,7.155850180E-4,6.632251316E-4,-6.934192777E-2
1.218851000E0,1.361356815E-3,-2.967059845E-4,-1.154709831E-1
1.222851000E0,1.082104165E-3,-9.948377265E-4,-1.683021039E-1
