"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.520000000E0,-5.110999942E-1,-3.290099859E0,-7.389999926E-2
1.530000000E0,-6.208999753E-1,-2.621099949E0,1.900999993E-1
1.540000000E0,-1.210299969E0,9.230599403E0,-5.945999622E-1
1.550000000E0,-3.168999851E-1,7.193500042E0,3.269999847E-2
1.560000000E0,-9.229999781E-1,7.504600048E0,3.270999789E-1
1.570000000E0,-1.204699993E0,7.489199638E0,-3.539999947E-2
1.580000000E0,-1.061499953E0,7.774499893E0,4.454999864E-1
1.590000000E0,-6.137999892E-1,7.417999744E0,-6.423000097E-1
1.600000000E0,-4.291999936E-1,6.541599751E0,6.419999897E-2
1.610000000E0,3.154999912E-1,5.651799679E0,5.651000142E-1
1.620000000E0,1.205500007E0,6.075200081E0,-1.287500024E0
1.630000000E0,9.775999784E-1,4.595499992E0,7.432000041E-1
1.640000000E0,1.364599943E0,3.869599819E0,-2.266999930E-1
1.650000000E0,1.259400010E0,4.252200127E0,-6.182000041E-1
1.660000000E0,8.887999654E-1,3.948499918E0,7.945999503E-1
1.670000000E0,5.636000037E-1,4.791999817E0,-1.146199942E0
1.680000000E0,5.299999937E-2,3.851499796E0,6.686999798E-1
1.690000000E0,-2.231999934E-1,4.087299824E0,-1.934999973E-1
1.700000000E0,-2.549999952E-1,3.940199852E0,-4.477999806E-1
1.710000000E0,-1.767999977E-1,1.705999970E0,4.450999796E-1
1.720000000E0,4.649999738E-2,2.856999934E-1,-7.407999635E-1
1.730000000E0,7.599999662E-3,2.746999860E-1,7.303999662E-1
1.740000000E0,-2.300000051E-3,2.309999913E-1,-2.890000045E-1
1.750000000E0,-2.389999852E-2,1.763999909E-1,-3.669999838E-1
1.760000000E0,-5.379999802E-2,2.303999960E-1,4.078999758E-1
1.770000000E0,3.240000084E-2,1.664000005E-1,-4.054999948E-1
1.780000000E0,-5.899999756E-3,2.009999901E-1,2.222999930E-1
1.790000000E0,1.269999985E-2,1.802999973E-1,-4.834999740E-1
1.800000000E0,2.080000006E-2,1.779999882E-1,-8.109999448E-2
1.810000000E0,2.029999904E-2,1.670999974E-1,3.798999786E-1
1.820000000E0,1.889999956E-2,1.473999918E-1,-6.103000045E-1
1.830000000E0,-2.999999851E-4,1.467999965E-1,2.036999911E-1
1.840000000E0,5.429999903E-2,1.367999911E-1,-1.784999967E-1
1.850000000E0,2.259999886E-2,1.261999905E-1,-5.079999939E-2
1.860000000E0,-6.699999794E-3,1.097999960E-1,3.739999980E-2
1.870000000E0,1.150000002E-2,1.036999971E-1,-4.624999762E-1
1.880000000E0,-2.559999935E-2,9.730000049E-2,2.630999982E-1
1.890000000E0,3.199999919E-3,9.089999646E-2,-2.073999941E-1
1.900000000E0,-2.439999953E-2,7.479999959E-2,-4.069999978E-2
1.910000000E0,-1.339999959E-2,6.899999827E-2,8.299999870E-3
1.920000000E0,-3.799999831E-3,8.299999684E-2,-2.563000023E-1
1.930000000E0,-3.499999875E-3,6.819999963E-2,1.064999998E-1
1.940000000E0,1.469999924E-2,6.359999627E-2,-2.071999907E-1
1.950000000E0,-4.699999932E-3,6.819999963E-2,-8.949999511E-2
1.960000000E0,-4.399999976E-3,6.309999526E-2,-5.999999866E-2
1.970000000E0,1.489999983E-2,6.319999695E-2,-7.959999889E-2
1.980000000E0,4.999999888E-3,6.319999695E-2,2.809999883E-2
1.990000000E0,4.999999888E-3,5.339999869E-2,-1.776999980E-1
2.000000000E0,-4.799999762E-3,6.329999864E-2,-9.929999709E-2
