"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.267939491E0,1.026600003E0,-3.482399940E0,4.897399902E0
1.277939491E0,-8.456999660E-1,-5.801499844E0,1.986599922E0
1.287939491E0,-6.499999762E-1,-2.202600002E0,-4.493199825E0
1.297939491E0,-5.098999739E-1,-1.172599912E0,-3.698699951E0
1.307939491E0,1.098500013E0,-1.268999934E0,2.518000007E-1
1.317939491E0,1.596499920E0,-1.264699936E0,3.050299883E0
1.327939491E0,7.299999595E-1,-3.706499815E0,1.803900003E0
1.337939491E0,6.459999830E-2,-3.315999985E0,-3.797899961E0
1.347939491E0,9.872999787E-1,-8.027999997E-1,-6.759899616E0
1.357939491E0,4.333999753E-1,-1.523100019E0,-4.731999934E-1
1.367939491E0,5.137000084E-1,-2.619699955E0,3.591599941E0
1.377939491E0,2.369999886E0,-2.296000004E0,4.767899990E0
1.387939491E0,7.050999999E-1,-5.612999916E0,2.669699907E0
1.397939491E0,-1.414699912E0,-5.552899837E0,-4.002399921E0
1.407939491E0,6.784999967E-1,-2.293400049E0,-6.574399948E0
1.417939491E0,2.151000023E0,-2.293799877E0,-1.995999932E0
1.427939491E0,-1.499999966E-2,-4.721299648E0,1.621999890E-1
1.437939491E0,1.545999944E-1,-6.256199837E0,8.412999511E-1
1.447939491E0,-1.437000036E-1,-7.453099728E0,-8.693000078E-1
1.457939491E0,6.638999581E-1,-1.020189953E1,8.579999954E-2
1.467939491E0,1.811499953E0,-8.695300102E0,2.175999880E-1
1.477939491E0,3.316999912E0,-7.361099720E0,-2.314199924E0
1.487939491E0,1.894400001E0,-6.763799667E0,-2.237200022E0
1.497939491E0,-4.246999919E-1,-7.851099968E0,-2.327999920E-1
1.507939491E0,-6.937999725E-1,-7.743700027E0,-9.420999885E-1
1.517939491E0,2.691999972E-1,-6.715099812E0,-1.901799917E0
1.527939491E0,2.585999966E-1,-6.506399632E0,-1.038599968E0
1.537939491E0,-1.278999895E-1,-5.575900078E0,-4.607999921E-1
1.547939491E0,-8.240000159E-2,-4.965399742E0,3.825999796E-1
1.557939491E0,2.369999886E-2,-5.308399677E0,-2.142999917E-1
1.567939491E0,7.622999549E-1,-5.184799671E0,-1.141700029E0
1.577939491E0,8.708999753E-1,-5.066699982E0,-5.087999701E-1
1.587939491E0,8.127999902E-1,-5.027699947E0,5.164999962E-1
1.597939491E0,-2.602999806E-1,-4.931699753E0,6.118999720E-1
1.607939491E0,-6.348999739E-1,-4.724899769E0,1.070699930E0
1.617939491E0,-4.099999964E-1,-4.773699760E0,7.838999629E-1
1.627939491E0,-2.866999805E-1,-4.349199772E0,-1.079699993E0
1.637939491E0,3.822999895E-1,-3.866999865E0,-1.667400002E0
1.647939491E0,9.629999995E-1,-3.450399876E0,-5.503999591E-1
1.657939491E0,4.122999907E-1,-1.706699967E0,-5.230000019E-1
1.667939491E0,-1.788999885E-1,-9.454999566E-1,-9.957999587E-1
1.677939491E0,-3.540000021E-1,-5.465999842E-1,-3.231999874E-1
1.687939491E0,-1.131999940E-1,-3.398000002E-1,5.141999722E-1
1.697939491E0,2.639999986E-2,-1.916999966E-1,6.455000043E-1
1.707939491E0,1.676999927E-1,-1.386999935E-1,2.965999842E-1
1.717939491E0,-5.139999837E-2,-1.389999967E-2,-1.204999983E-1
1.727939491E0,-1.127000004E-1,-1.689999923E-2,-1.748999953E-1
1.737939491E0,1.004999951E-1,-7.499999553E-2,3.188000023E-1
1.747939491E0,8.769999444E-2,-1.870999932E-1,6.058999896E-1
1.757939491E0,2.199999988E-2,-3.409999907E-1,4.025000036E-1
1.767939491E0,3.999999899E-4,-3.788999915E-1,-3.008999825E-1
1.777939491E0,1.045999974E-1,-4.095999897E-1,-4.360999763E-1
1.787939491E0,3.379999846E-2,-4.150999784E-1,-2.775000036E-1
1.797939491E0,-3.899999894E-3,-4.122999907E-1,-3.935999870E-1
1.807939491E0,9.160000086E-2,-3.307999969E-1,-4.509999752E-1
1.817939491E0,-8.499999531E-3,-2.698000073E-1,-4.759999737E-2
1.827939491E0,-2.719999850E-2,-2.586999834E-1,2.576999962E-1
1.837939491E0,4.289999977E-2,-2.054999918E-1,-7.389999926E-2
1.847939491E0,2.399999881E-3,-1.973999888E-1,-2.973999977E-1
1.857939491E0,8.029999584E-2,-1.596999913E-1,2.635000050E-1
1.867939491E0,-4.100000020E-3,-2.586999834E-1,4.717999995E-1
1.877939491E0,-8.590000123E-2,-2.171999961E-1,-2.116999924E-1
1.887939491E0,-5.350000039E-2,-2.348999977E-1,-5.426999927E-1
1.897939491E0,-9.189999849E-2,-2.845999897E-1,-3.445000052E-1
1.907939491E0,3.999999899E-4,-2.169999927E-1,-1.362999976E-1
1.917939491E0,-1.331000030E-1,-2.595999837E-1,3.219999745E-2
1.927939491E0,-2.419999987E-2,-2.167999893E-1,4.339999706E-2
1.937939491E0,1.017999947E-1,-1.554999948E-1,2.489999868E-2
1.947939491E0,7.079999894E-2,-3.579999879E-2,-1.310000010E-2
1.957939491E0,6.099999696E-2,-1.359999925E-2,-1.589999944E-1
1.967939491E0,-1.064999998E-1,2.969999984E-2,-1.479000002E-1
1.977939491E0,-7.000000030E-2,1.489999983E-2,1.375999898E-1
1.987939491E0,7.229999453E-2,8.599999361E-3,3.346999884E-1
1.997939491E0,2.879999951E-2,5.939999968E-2,1.393999904E-1
2.007939491E0,2.589999884E-2,-1.154999956E-1,-1.832000017E-1
