"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.042929631E0,-1.299999934E-2,-1.999999949E-4,-4.939999804E-2,5.108228449E-2
2.052929631E0,6.399999838E-3,-1.999999949E-4,-4.939999804E-2,4.981324928E-2
2.062929631E0,-3.299999982E-3,-1.999999949E-4,-3.959999979E-2,3.973776520E-2
2.072929631E0,-3.199999919E-3,-2.999999851E-4,-4.939999804E-2,4.950444228E-2
2.082929631E0,-1.289999951E-2,-2.999999851E-4,-5.920000002E-2,6.058993307E-2
2.092929631E0,6.499999668E-3,-3.999999899E-4,-5.920000002E-2,5.955711543E-2
2.102929631E0,-1.269999985E-2,-2.999999851E-4,-4.939999804E-2,5.100725245E-2
2.112929631E0,9.899999946E-3,0.000000000E0,-5.929999799E-2,6.012070991E-2
2.122929631E0,-9.999999747E-5,0.000000000E0,-4.949999973E-2,4.950010074E-2
2.132929631E0,-2.999999851E-4,0.000000000E0,-3.969999775E-2,3.970113124E-2
2.142929631E0,-6.999999750E-3,0.000000000E0,-3.969999775E-2,4.031240278E-2
2.152929631E0,1.799999969E-3,0.000000000E0,-4.949999973E-2,4.953271619E-2
2.162929631E0,1.150000002E-2,0.000000000E0,-3.969999775E-2,4.133206772E-2
2.172929631E0,1.099999994E-3,0.000000000E0,-4.949999973E-2,4.951222045E-2
2.182929631E0,3.999999899E-4,9.999999747E-5,-4.949999973E-2,4.950171687E-2
2.192929631E0,6.899999920E-3,1.999999949E-4,-3.959999979E-2,4.019713898E-2
2.202929631E0,-8.999999613E-3,1.999999949E-4,-3.969999775E-2,4.070785937E-2
2.212929631E0,-1.909999922E-2,-1.999999949E-4,-4.949999973E-2,5.305751543E-2
2.222929631E0,-7.400000002E-3,-1.999999949E-4,-5.929999799E-2,5.976026908E-2
2.232929631E0,-5.099999718E-3,-1.999999949E-4,-3.969999775E-2,4.002673880E-2
2.242929631E0,1.359999925E-2,0.000000000E0,-4.949999973E-2,5.133429607E-2
2.252929631E0,2.699999837E-3,0.000000000E0,-5.929999799E-2,5.936143327E-2
2.262929631E0,1.699999906E-3,9.999999747E-5,-4.949999973E-2,4.952928400E-2
2.272929631E0,1.500000013E-3,3.999999899E-4,-5.929999799E-2,5.932031491E-2
2.282929631E0,-6.099999882E-3,2.999999851E-4,-4.949999973E-2,4.987534433E-2
2.292929631E0,2.399999881E-3,9.999999747E-5,-3.969999775E-2,3.977260139E-2
2.302929631E0,1.500000013E-3,0.000000000E0,-3.969999775E-2,3.972832518E-2
2.312929631E0,-5.499999970E-3,1.999999949E-4,-2.989999950E-2,3.040230205E-2
2.322929631E0,3.700000001E-3,3.999999899E-4,-4.949999973E-2,4.963970158E-2
2.332929631E0,2.799999900E-3,1.999999949E-4,-5.929999799E-2,5.936640262E-2
2.342929631E0,1.899999916E-3,9.999999747E-5,-4.949999973E-2,4.953655189E-2
2.352929631E0,1.300000004E-3,1.999999949E-4,-5.929999799E-2,5.931458304E-2
2.362929631E0,-5.899999756E-3,9.999999747E-5,-3.969999775E-2,4.013614105E-2
2.372929631E0,-4.299999680E-3,1.999999949E-4,-4.949999973E-2,4.968681888E-2
2.382929631E0,3.899999894E-3,9.999999747E-5,-4.949999973E-2,4.965349910E-2
2.392929631E0,2.499999944E-3,0.000000000E0,-3.969999775E-2,3.977863524E-2
2.402929631E0,-5.599999800E-3,0.000000000E0,-4.949999973E-2,4.981576027E-2
2.412929631E0,-4.399999976E-3,0.000000000E0,-4.949999973E-2,4.969517052E-2
2.422929631E0,-3.700000001E-3,0.000000000E0,-5.929999799E-2,5.941531588E-2
2.432929631E0,-3.799999831E-3,0.000000000E0,-6.909999996E-2,6.920440733E-2
2.442929631E0,1.559999958E-2,0.000000000E0,-4.949999973E-2,5.189999962E-2
2.452929631E0,5.799999926E-3,0.000000000E0,-4.949999973E-2,4.983863935E-2
2.462929631E0,5.899999756E-3,-9.999999747E-5,-4.949999973E-2,4.985047613E-2
2.472929631E0,5.799999926E-3,-3.999999899E-4,-5.929999799E-2,5.958430800E-2
2.482929631E0,5.799999926E-3,-3.999999899E-4,-4.949999973E-2,4.984024451E-2
2.492929631E0,-1.370000001E-2,-4.999999655E-4,-5.929999799E-2,6.086402682E-2
2.502929631E0,1.539999992E-2,-3.999999899E-4,-5.929999799E-2,6.126834222E-2
2.512929631E0,1.539999992E-2,-3.999999899E-4,-3.969999775E-2,4.258414986E-2
2.522929631E0,1.549999975E-2,-1.999999949E-4,-4.949999973E-2,5.187041513E-2
2.532929631E0,3.000000026E-3,3.999999899E-4,-4.949999973E-2,4.959243867E-2
2.542929631E0,1.599999960E-3,1.999999949E-4,-4.949999973E-2,4.952625539E-2
2.552929631E0,8.999999845E-4,2.999999851E-4,-5.929999799E-2,5.930758603E-2
2.562929631E0,7.599999662E-3,2.999999851E-4,-5.929999799E-2,5.978578222E-2
2.572929631E0,-1.799999969E-3,1.999999949E-4,-5.929999799E-2,5.932764753E-2
2.582929631E0,-1.399999950E-3,9.999999747E-5,-5.929999799E-2,5.931660611E-2
2.592929631E0,-8.299999870E-3,9.999999747E-5,-4.949999973E-2,5.019113439E-2
2.602929631E0,-6.599999964E-3,9.999999747E-5,-6.909999996E-2,6.941455175E-2
2.612929631E0,-4.900000058E-3,0.000000000E0,-4.949999973E-2,4.974193376E-2
2.622929631E0,3.499999875E-3,0.000000000E0,-5.929999799E-2,5.940319655E-2
2.632929631E0,2.600000007E-3,0.000000000E0,-6.909999996E-2,6.914889728E-2
2.642929631E0,-7.100000046E-3,0.000000000E0,-4.949999973E-2,5.000659931E-2
2.652929631E0,-7.100000046E-3,-9.999999747E-5,-5.929999799E-2,5.972361143E-2
2.662929631E0,-7.199999876E-3,-1.999999949E-4,-5.929999799E-2,5.973583313E-2
2.672929631E0,2.600000007E-3,-1.999999949E-4,-4.949999973E-2,4.956863901E-2
2.682929631E0,2.600000007E-3,0.000000000E0,-4.949999973E-2,4.956823553E-2
2.692929631E0,-7.100000046E-3,0.000000000E0,-5.929999799E-2,5.972352771E-2
2.702929631E0,2.499999944E-3,0.000000000E0,-5.929999799E-2,5.935267273E-2
