"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.729296310E-1,-1.099999994E-2,3.999999899E-4,-4.949999973E-2,5.070907189E-2
8.829296310E-1,-1.099999994E-2,2.999999851E-4,-5.929999799E-2,6.031235163E-2
8.929296310E-1,-1.129999943E-2,9.999999747E-5,-2.979999967E-2,3.187067567E-2
9.029296310E-1,8.200000040E-3,0.000000000E0,-5.929999799E-2,5.986426114E-2
9.129296310E-1,-1.139999926E-2,0.000000000E0,-4.949999973E-2,5.079576711E-2
9.229296310E-1,-1.599999960E-3,0.000000000E0,-5.929999799E-2,5.932157922E-2
9.329296310E-1,8.200000040E-3,0.000000000E0,-4.949999973E-2,5.017459491E-2
9.429296310E-1,-1.129999943E-2,0.000000000E0,-3.969999775E-2,4.127686772E-2
9.529296310E-1,-1.129999943E-2,0.000000000E0,-4.949999973E-2,5.077341785E-2
9.629296310E-1,8.299999870E-3,0.000000000E0,-4.949999973E-2,5.019103477E-2
9.729296310E-1,-2.109999955E-2,1.999999949E-4,-4.949999973E-2,5.380984997E-2
9.829296310E-1,-1.129999943E-2,1.999999949E-4,-3.969999775E-2,4.127735225E-2
9.929296310E-1,-1.500000013E-3,9.999999747E-5,-5.929999799E-2,5.931905057E-2
1.002929631E0,-1.119999960E-2,0.000000000E0,-5.929999799E-2,6.034840306E-2
1.012929631E0,-1.119999960E-2,-1.960000023E-2,-4.949999973E-2,5.440450325E-2
1.022929631E0,-2.089999989E-2,0.000000000E0,-5.929999799E-2,6.287527142E-2
1.032929631E0,-8.700000122E-3,1.099999994E-3,-4.949999973E-2,5.027076661E-2
1.042929631E0,2.999999851E-4,5.999999703E-4,-4.949999973E-2,4.950454498E-2
1.052929631E0,6.099999882E-3,2.999999851E-4,-4.939999804E-2,4.977609672E-2
1.062929631E0,-2.799999900E-3,9.999999747E-5,-5.929999799E-2,5.936614996E-2
1.072929631E0,1.179999951E-2,9.999999747E-5,-4.939999804E-2,5.078985917E-2
1.082929631E0,-1.209999993E-2,0.000000000E0,-3.959999979E-2,4.140736627E-2
1.092929631E0,-1.999999862E-3,0.000000000E0,-5.929999799E-2,5.933371521E-2
1.102929631E0,-1.399999950E-3,-1.999999949E-4,-3.969999775E-2,3.972517868E-2
1.112929631E0,1.310000010E-2,-1.999999949E-4,-4.939999804E-2,5.110782532E-2
1.122929631E0,2.300000051E-3,-9.999999747E-5,-4.939999804E-2,4.945361267E-2
1.132929631E0,-5.599999800E-3,-9.999999747E-5,-4.939999804E-2,4.971649429E-2
1.142929631E0,-5.599999800E-3,-9.999999747E-5,-4.939999804E-2,4.971649429E-2
1.152929631E0,-5.699999630E-3,-1.999999949E-4,-5.920000002E-2,5.947411200E-2
1.162929631E0,-5.799999926E-3,-1.999999949E-4,-4.939999804E-2,4.973972060E-2
1.172929631E0,-5.799999926E-3,-2.999999851E-4,-4.939999804E-2,4.974022321E-2
1.182929631E0,3.999999724E-3,0.000000000E0,-5.920000002E-2,5.933498125E-2
1.192929631E0,3.999999724E-3,0.000000000E0,-4.939999804E-2,4.956167677E-2
1.202929631E0,3.899999894E-3,-1.999999949E-4,-4.939999804E-2,4.955410987E-2
1.212929631E0,-1.549999975E-2,-3.999999899E-4,-5.920000002E-2,6.119681360E-2
1.222929631E0,-5.699999630E-3,-4.999999655E-4,-4.939999804E-2,4.973027048E-2
1.232929631E0,-6.000000052E-3,-4.999999655E-4,-4.939999804E-2,4.976554839E-2
1.242929631E0,3.799999831E-3,-2.999999851E-4,-5.920000002E-2,5.932259267E-2
