"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.400000000E0,-2.600000007E-3,-2.799999900E-3,-4.959999770E-2,4.974695741E-2
1.410000000E0,4.799999762E-3,-8.999999613E-3,-5.929999799E-2,6.017083805E-2
1.420000000E0,-3.899999894E-3,-6.699999794E-3,-6.920000166E-2,6.963289615E-2
1.430000000E0,4.299999680E-3,9.699999355E-3,-6.909999996E-2,6.990987040E-2
1.440000000E0,-3.999999724E-3,0.000000000E0,-4.949999973E-2,4.966135289E-2
1.450000000E0,-1.009999961E-2,-6.899999920E-3,-4.959999770E-2,5.108600359E-2
1.460000000E0,6.999999750E-3,-5.299999844E-3,-5.939999968E-2,6.004539913E-2
1.470000000E0,-2.199999988E-3,-4.100000020E-3,-6.920000166E-2,6.935625588E-2
1.480000000E0,-1.699999906E-3,3.999999724E-3,-4.959999770E-2,4.979005693E-2
1.490000000E0,-1.799999969E-3,3.999999724E-3,-5.939999968E-2,5.956173234E-2
1.500000000E0,7.899999619E-3,1.389999967E-2,-4.959999770E-2,5.211314380E-2
1.510000000E0,7.899999619E-3,-5.699999630E-3,-6.920000166E-2,6.988233124E-2
1.520000000E0,7.899999619E-3,1.389999967E-2,-6.920000166E-2,7.102295554E-2
1.530000000E0,-1.899999916E-3,1.389999967E-2,-4.959999770E-2,5.154589957E-2
1.540001563E0,-1.899999916E-3,1.379999984E-2,-5.939999968E-2,6.101155593E-2
1.550000000E0,-1.899999916E-3,-5.699999630E-3,-5.939999968E-2,5.970309839E-2
1.560000000E0,-1.300000004E-3,1.139999926E-2,-3.979999945E-2,4.142088771E-2
1.570000000E0,-9.999999311E-4,8.999999845E-4,-4.959999770E-2,4.961824031E-2
1.580000000E0,6.000000052E-3,7.599999662E-3,-5.929999799E-2,6.008535393E-2
1.590000000E0,-3.000000026E-3,-8.899999782E-3,-6.920000166E-2,6.983444870E-2
1.600000000E0,-9.499999695E-3,5.999999703E-4,-5.939999968E-2,6.015787526E-2
1.610000000E0,6.899999920E-3,-6.399999838E-3,-4.949999973E-2,5.038670430E-2
1.620000000E0,5.099999718E-3,-4.900000058E-3,-5.929999799E-2,5.972026255E-2
1.630000000E0,3.700000001E-3,1.099999994E-2,-5.929999799E-2,6.042499284E-2
1.640000000E0,-4.999999888E-3,8.799999952E-3,-7.889999449E-2,7.954652179E-2
1.650000000E0,6.000000052E-3,-2.999999851E-4,-5.929999799E-2,5.960352139E-2
1.660000000E0,-3.199999919E-3,-1.999999949E-4,-7.899999619E-2,7.906503271E-2
1.670001563E0,-2.499999944E-3,-1.999999949E-4,-6.920000166E-2,6.924543472E-2
1.680000000E0,-2.099999925E-3,-7.599999662E-3,-6.920000166E-2,6.964775821E-2
1.690000000E0,-1.599999960E-3,-5.499999970E-3,-4.959999770E-2,4.992964822E-2
1.700000000E0,-1.399999950E-3,1.049999986E-2,-5.939999968E-2,6.033713582E-2
1.710000000E0,5.799999926E-3,7.699999958E-3,-4.949999973E-2,5.042995114E-2
1.720000000E0,-3.099999856E-3,-1.500000013E-3,-5.939999968E-2,5.949974757E-2
1.730000000E0,-9.800000116E-3,-9.999999311E-4,-5.939999968E-2,6.021129432E-2
1.740000000E0,-1.999999949E-4,-6.999999750E-4,-4.959999770E-2,4.960534015E-2
1.750000000E0,-2.999999851E-4,7.100000046E-3,-6.920000166E-2,6.956392909E-2
1.760000000E0,-1.009999961E-2,-2.600000007E-3,-6.920000166E-2,6.998149914E-2
1.770000000E0,9.399999864E-3,-1.249999925E-2,-5.939999968E-2,6.142450603E-2
1.780000000E0,-3.999999899E-4,-2.600000007E-3,-6.920000166E-2,6.924998361E-2
1.790000000E0,-1.019999944E-2,-2.600000007E-3,-5.939999968E-2,6.032545027E-2
1.800000000E0,1.919999905E-2,-1.239999942E-2,-5.939999968E-2,6.364558045E-2
1.810000000E0,-1.009999961E-2,-1.239999942E-2,-4.959999770E-2,5.211458289E-2
1.820000000E0,9.399999864E-3,-2.699999837E-3,-5.939999968E-2,6.019975048E-2
1.830000000E0,9.399999864E-3,-2.600000007E-3,-5.939999968E-2,6.019534832E-2
1.840000000E0,-1.009999961E-2,-2.600000007E-3,-5.939999968E-2,6.030862255E-2
1.850000000E0,-1.999999949E-4,7.100000046E-3,-6.920000166E-2,6.956356970E-2
1.860000000E0,9.499999695E-3,7.100000046E-3,-4.959999770E-2,5.099823298E-2
1.870000000E0,9.499999695E-3,-2.600000007E-3,-6.920000166E-2,6.989742644E-2
1.880000000E0,9.499999695E-3,-1.249999925E-2,-6.920000166E-2,7.095872184E-2
1.890012500E0,-9.999999776E-3,-2.699999837E-3,-6.920000166E-2,6.997092413E-2
1.900000000E0,9.499999695E-3,-2.699999837E-3,-4.959999770E-2,5.057370626E-2
1.910000000E0,9.499999695E-3,-2.799999900E-3,-4.959999770E-2,5.057914358E-2
1.920000000E0,-1.999999949E-4,-2.899999963E-3,-4.959999770E-2,4.968510613E-2
1.930000000E0,-9.999999776E-3,-2.899999963E-3,-6.920000166E-2,6.997892700E-2
1.940000000E0,-9.899999946E-3,-2.899999963E-3,-4.959999770E-2,5.066142290E-2
1.950000000E0,9.599999525E-3,-1.279999968E-2,-4.959999770E-2,5.211678956E-2
1.960001563E0,-9.899999946E-3,-2.899999963E-3,-7.899999619E-2,7.967069346E-2
1.970000000E0,9.599999525E-3,6.699999794E-3,-5.939999968E-2,6.054262920E-2
1.980000000E0,0.000000000E0,-1.279999968E-2,-6.920000166E-2,7.037386035E-2
