"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.320000000E-1,-1.159847081E-1,4.720408097E-2,-9.871006012E0
6.360000000E-1,-1.233109683E-1,5.853344500E-2,-9.894450188E0
6.400000000E-1,-1.098747030E-1,6.633853912E-2,-9.894450188E0
6.440000000E-1,-1.276396811E-1,4.653370380E-2,-9.891184807E0
6.480000000E-1,-1.162720099E-1,5.186798424E-2,-9.883714676E0
6.520000000E-1,-1.221234426E-1,6.200982258E-2,-9.899468422E0
6.560000000E-1,-1.121156737E-1,5.912720412E-2,-9.896661758E0
6.600000000E-1,-1.185225621E-1,5.909847468E-2,-9.903375626E0
6.640000000E-1,-1.199303493E-1,5.128380284E-2,-9.902197838E0
6.680000000E-1,-1.190780178E-1,5.557421222E-2,-9.903308868E0
6.720000000E-1,-1.088691428E-1,4.878425226E-2,-9.897697449E0
6.760000000E-1,-1.289804429E-1,5.404191837E-2,-9.905023575E0
6.800000000E-1,-1.359331906E-1,5.701073259E-2,-9.909313202E0
6.840000000E-1,-1.233109683E-1,5.596685782E-2,-9.903806686E0
6.880000000E-1,-1.104588956E-1,5.113057420E-2,-9.899918556E0
6.920000000E-1,-1.226788908E-1,4.499183595E-2,-9.897486687E0
6.960000000E-1,-1.059482098E-1,5.519114062E-2,-9.886041641E0
7.000000000E-1,-1.231481582E-1,6.095637381E-2,-9.887689590E0
7.040000000E-1,-1.173446104E-1,4.931097850E-2,-9.890255928E0
7.080000000E-1,-1.101620123E-1,6.807194650E-2,-9.882785797E0
7.120000000E-1,-1.120294854E-1,6.577350944E-2,-9.897342682E0
7.160000000E-1,-1.063695922E-1,6.189490110E-2,-9.900876045E0
7.200000000E-1,-1.175457239E-1,7.142382860E-2,-9.908241272E0
7.239984370E-1,-1.140023097E-1,6.723876297E-2,-9.885860443E0
7.279984370E-1,-1.106504276E-1,4.726154357E-2,-9.887372971E0
7.319984370E-1,-1.213285699E-1,6.322608143E-2,-9.889843941E0
7.359984370E-1,-1.200452745E-1,5.656062067E-2,-9.897418976E0
7.399984370E-1,-1.234067306E-1,5.562209338E-2,-9.895963669E0
7.439984370E-1,-1.135521978E-1,6.331226975E-2,-9.882287979E0
7.480000000E-1,-1.220276728E-1,5.763322487E-2,-9.885141373E0
7.519984370E-1,-1.196143180E-1,5.085284263E-2,-9.891960144E0
7.559984370E-1,-1.125466302E-1,6.007530913E-2,-9.892678261E0
7.599984370E-1,-1.232056171E-1,6.835924834E-2,-9.905577660E0
7.640000000E-1,-1.209359095E-1,5.873455480E-2,-9.908844948E0
7.680000000E-1,-1.203804612E-1,6.211517006E-2,-9.903126717E0
7.719984370E-1,-1.283579469E-1,6.293877214E-2,-9.892391205E0
7.759984370E-1,-1.323227435E-1,5.611051247E-2,-9.891989708E0
7.800000000E-1,-1.370345354E-1,6.022853777E-2,-9.893118858E0
7.840000000E-1,-1.152855977E-1,5.486552417E-2,-9.893301010E0
7.879984370E-1,-1.143087670E-1,6.213432178E-2,-9.904965401E0
7.919984370E-1,-1.148546413E-1,5.374504253E-2,-9.888723373E0
7.960000000E-1,-1.204858124E-1,5.240428448E-2,-9.892295837E0
7.999984370E-1,-1.235886887E-1,5.066130683E-2,-9.897103310E0
8.039984370E-1,-1.203517318E-1,5.010585487E-2,-9.901565552E0
8.079984370E-1,-1.239334568E-1,5.259582028E-2,-9.886472702E0
8.120000000E-1,-1.255423576E-1,5.189671740E-2,-9.881444931E0
8.159984370E-1,-1.244122982E-1,4.340208694E-2,-9.888885498E0
8.199984370E-1,-1.128339395E-1,5.437710881E-2,-9.885581970E0
8.240000000E-1,-1.330026835E-1,6.001785025E-2,-9.889154434E0
8.280000000E-1,-1.214626357E-1,6.487329304E-2,-9.892812729E0
8.319984370E-1,-1.256381273E-1,7.125144452E-2,-9.889116287E0
8.360000000E-1,-1.118283793E-1,5.590939894E-2,-9.896910667E0
8.399984370E-1,-1.173350364E-1,4.757757485E-2,-9.899842262E0
8.440000000E-1,-1.194706634E-1,6.207686290E-2,-9.890628815E0
8.479984370E-1,-1.163773611E-1,7.131848484E-2,-9.884662628E0
8.520000000E-1,-1.162145510E-1,7.057148963E-2,-9.883533478E0
8.559984370E-1,-1.307042539E-1,5.207867548E-2,-9.888685226E0
8.600000000E-1,-1.117038727E-1,5.707776919E-2,-9.886855125E0
8.639984370E-1,-1.284345537E-1,5.343858153E-2,-9.880851746E0
8.679984370E-1,-1.309915632E-1,6.018065289E-2,-9.886635780E0
8.719984370E-1,-1.082849577E-1,7.351156324E-2,-9.893751144E0
8.760000000E-1,-1.138299257E-1,6.864655018E-2,-9.894594193E0
8.799984370E-1,-1.193557456E-1,5.278735608E-2,-9.895274162E0
8.839984370E-1,-1.113016531E-1,6.263231486E-2,-9.905434608E0
8.879984370E-1,-1.183310226E-1,7.209420204E-2,-9.902868271E0
8.920000000E-1,-1.264425814E-1,6.800490618E-2,-9.895398140E0
8.959984370E-1,-1.119145676E-1,5.709692463E-2,-9.884930611E0
8.999984370E-1,-1.213381439E-1,5.440583825E-2,-9.882814407E0
9.039984370E-1,-1.186757907E-1,5.101565272E-2,-9.890122414E0
9.079984370E-1,-1.170764640E-1,4.442680627E-2,-9.898395538E0
9.119984370E-1,-1.081413031E-1,3.918829188E-2,-9.892879486E0
9.159984370E-1,-1.141076535E-1,5.568913370E-2,-9.886482239E0
9.200000000E-1,-1.230332330E-1,5.011542886E-2,-9.898185730E0
9.239984370E-1,-1.123263687E-1,4.969405010E-2,-9.891031265E0
9.279984370E-1,-1.223724335E-1,6.583096832E-2,-9.889106750E0
9.319984370E-1,-1.185704395E-1,6.322608143E-2,-9.899181366E0
9.360000000E-1,-1.177276820E-1,6.279512495E-2,-9.898827553E0
9.400000000E-1,-1.266724169E-1,4.730942473E-2,-9.894631386E0
9.439984370E-1,-1.306468099E-1,5.219359696E-2,-9.877423286E0
9.479984370E-1,-1.124891713E-1,6.142564118E-2,-9.900100708E0
9.520000000E-1,-1.279461384E-1,5.429091677E-2,-9.897160530E0
9.559984370E-1,-1.134372801E-1,4.979939759E-2,-9.897706032E0
9.599984370E-1,-1.162528619E-1,4.826710373E-2,-9.887325287E0
9.639984370E-1,-1.197675467E-1,6.541916728E-2,-9.883705139E0
9.680000000E-1,-1.268160790E-1,5.936662853E-2,-9.890954971E0
9.719984370E-1,-1.153717861E-1,5.469314009E-2,-9.890772820E0
9.759984370E-1,-1.149312556E-1,5.164771900E-2,-9.892611504E0
9.799984370E-1,-1.193174347E-1,5.612966418E-2,-9.881933212E0
9.840000000E-1,-1.286644042E-1,5.154237524E-2,-9.888225555E0
9.879984370E-1,-1.209454983E-1,5.704903975E-2,-9.894536018E0
9.919984370E-1,-1.170094237E-1,5.944324285E-2,-9.887755394E0
9.959984370E-1,-1.263180822E-1,6.580223888E-2,-9.887775421E0
1.000000000E0,-1.191546321E-1,5.475060269E-2,-9.888541222E0
1.003998437E0,-1.234737709E-1,5.290227756E-2,-9.886626244E0
1.007998437E0,-1.204379201E-1,5.231809616E-2,-9.897496223E0
1.011998437E0,-1.120677963E-1,5.255751312E-2,-9.901220322E0
1.016000000E0,-1.126328260E-1,5.251920596E-2,-9.889393806E0
1.019998437E0,-1.187332571E-1,4.660074413E-2,-9.898644447E0
1.023998437E0,-1.187715605E-1,5.299805105E-2,-9.885687828E0
1.027998437E0,-1.106121242E-1,6.130113825E-2,-9.891921997E0
1.031998437E0,-1.162528619E-1,4.301901534E-2,-9.894804955E0
1.035998437E0,-1.216541752E-1,5.868667364E-2,-9.893224716E0
1.039998437E0,-1.116464138E-1,5.343858153E-2,-9.888301849E0
1.043998437E0,-1.262318939E-1,5.911763012E-2,-9.895954132E0
1.048000000E0,-1.225256622E-1,5.510494485E-2,-9.888799667E0
1.051998437E0,-1.254178584E-1,5.122634023E-2,-9.884787560E0
1.055998437E0,-1.219702139E-1,5.735549703E-2,-9.873256683E0
1.059998437E0,-1.243835688E-1,6.725791097E-2,-9.879817009E0
1.064000000E0,-1.237514988E-1,5.770983920E-2,-9.892611504E0
1.067998437E0,-1.208401471E-1,5.755661055E-2,-9.880563736E0
1.071998437E0,-1.041765064E-1,6.073610857E-2,-9.881712914E0
1.076000000E0,-1.121731400E-1,6.712383777E-2,-9.895235062E0
1.080000000E0,-1.154867113E-1,5.763322487E-2,-9.906526566E0
1.083998437E0,-1.046936512E-1,4.713704437E-2,-9.896959305E0
1.087998437E0,-1.118762568E-1,6.454767287E-2,-9.906631470E0
1.092000000E0,-1.084764972E-1,5.725015327E-2,-9.899698257E0
1.095998437E0,-1.145960689E-1,5.822698772E-2,-9.891701698E0
1.099998437E0,-1.145769209E-1,5.754703283E-2,-9.901871681E0
1.103998437E0,-1.156590953E-1,5.813121796E-2,-9.890850067E0
1.108000000E0,-1.169998497E-1,6.684611738E-2,-9.893080711E0
1.111998437E0,-1.104780436E-1,6.521805376E-2,-9.875689507E0
1.115998437E0,-1.174786910E-1,7.927680761E-2,-9.902782440E0
1.119998437E0,-1.092043296E-1,7.311891764E-2,-9.885141373E0
1.124000000E0,-1.081029996E-1,6.417418271E-2,-9.888723373E0
1.128000000E0,-1.229087338E-1,5.673300102E-2,-9.887478828E0
1.131998437E0,-1.184938252E-1,5.463568121E-2,-9.882307053E0
1.135998437E0,-1.192982793E-1,5.699157715E-2,-9.884998322E0
1.140000000E0,-1.148354858E-1,6.209601462E-2,-9.899985313E0
1.144000000E0,-1.284441352E-1,5.426218733E-2,-9.888885498E0
1.147998437E0,-1.283100545E-1,6.435614079E-2,-9.887506485E0
1.151998437E0,-1.217978299E-1,6.850289553E-2,-9.894583702E0
1.156000000E0,-1.263180822E-1,6.154056266E-2,-9.892085075E0
1.160000000E0,-1.213956028E-1,5.065172911E-2,-9.893129349E0
1.164000000E0,-1.138873920E-1,6.070737913E-2,-9.890332222E0
1.168000000E0,-1.190397143E-1,6.067864597E-2,-9.881080627E0
1.172000000E0,-1.082753763E-1,4.524083808E-2,-9.884366035E0
1.176000000E0,-1.091277152E-1,5.426218733E-2,-9.889327049E0
1.180000000E0,-1.195185483E-1,4.552813992E-2,-9.891941071E0
1.184000000E0,-1.255615205E-1,4.767334461E-2,-9.892985344E0
1.188000000E0,-1.228608564E-1,5.282566324E-2,-9.877393723E0
1.192000000E0,-1.173254624E-1,6.448063999E-2,-9.887870789E0
1.196000000E0,-1.070591211E-1,6.241204962E-2,-9.889853477E0
1.200000000E0,-1.097214743E-1,5.353435129E-2,-9.891443253E0
1.204000000E0,-1.133319288E-1,6.347507238E-2,-9.891222954E0
1.207998437E0,-1.119241416E-1,5.899313092E-2,-9.892439842E0
1.211998437E0,-1.026059091E-1,6.348465383E-2,-9.887315750E0
1.215998437E0,-1.211370304E-1,4.204218462E-2,-9.892026901E0
1.220000000E0,-1.179671064E-1,4.317224398E-2,-9.896404266E0
1.223998437E0,-1.221234426E-1,5.467398837E-2,-9.883418083E0
1.227998437E0,-1.180341393E-1,6.196194142E-2,-9.883139610E0
1.231998437E0,-1.197292432E-1,6.838797778E-2,-9.896940231E0
1.236000000E0,-1.137533113E-1,4.819048941E-2,-9.900032997E0
1.239998437E0,-1.241920292E-1,5.376419425E-2,-9.893990517E0
1.243998437E0,-1.286835521E-1,5.498044938E-2,-9.895906448E0
1.248000000E0,-1.267586201E-1,7.105033100E-2,-9.892621040E0
1.252000000E0,-1.113016531E-1,4.613147676E-2,-9.902150154E0
1.255998437E0,-1.112729162E-1,5.413768813E-2,-9.895876884E0
1.259998437E0,-1.241537258E-1,6.238332018E-2,-9.897237778E0
1.264000000E0,-1.115027592E-1,4.560475424E-2,-9.888195992E0
1.267998437E0,-1.169136614E-1,5.128380284E-2,-9.899870872E0
1.271998437E0,-1.195568517E-1,5.002924055E-2,-9.888444901E0
1.275998437E0,-1.137245819E-1,6.115749106E-2,-9.898013115E0
1.280000000E0,-1.285782009E-1,5.359181389E-2,-9.891203880E0
1.284000000E0,-1.280898005E-1,4.756800085E-2,-9.889575958E0
1.287998437E0,-1.278216392E-1,5.511452630E-2,-9.889661789E0
1.291998437E0,-1.282238662E-1,4.600698128E-2,-9.892601967E0
1.296000000E0,-1.132074371E-1,4.363192990E-2,-9.898999214E0
1.299998437E0,-1.128243655E-1,5.123591796E-2,-9.894278526E0
1.303998437E0,-1.200931519E-1,4.862144962E-2,-9.892228127E0
1.307998437E0,-1.184267923E-1,5.869624764E-2,-9.905491829E0
1.312000000E0,-1.102386266E-1,4.751053825E-2,-9.892688751E0
1.315998437E0,-1.070687026E-1,4.587290436E-2,-9.891596794E0
1.319998437E0,-1.243452579E-1,6.831136346E-2,-9.898377419E0
1.323998437E0,-1.176319197E-1,5.646485090E-2,-9.895494461E0
1.328000000E0,-1.185991764E-1,6.290046871E-2,-9.884749413E0
1.331998437E0,-1.180437207E-1,5.732676759E-2,-9.884424210E0
1.335998437E0,-1.088499799E-1,5.637866259E-2,-9.878227234E0
1.339998437E0,-1.244314462E-1,7.460332662E-2,-9.880276680E0
1.344000000E0,-1.183214486E-1,7.067683339E-2,-9.888962746E0
1.347998437E0,-1.166167781E-1,6.097552925E-2,-9.883436203E0
1.352001562E0,-1.163294762E-1,5.762364715E-2,-9.894843102E0
1.355998437E0,-1.177085340E-1,6.413587183E-2,-9.886970520E0
1.360000000E0,-1.168083102E-1,5.211698264E-2,-9.888331413E0
1.364000000E0,-1.067622453E-1,5.598601326E-2,-9.891156197E0
1.367998437E0,-1.176989600E-1,6.708553433E-2,-9.884499550E0
1.371998437E0,-1.326579303E-1,5.492299050E-2,-9.880305290E0
1.375998437E0,-1.268256605E-1,5.936662853E-2,-9.885457993E0
1.379998437E0,-1.117996424E-1,6.042007357E-2,-9.891845703E0
1.384000000E0,-1.156590953E-1,5.639781430E-2,-9.896537781E0
1.387998437E0,-1.199495122E-1,5.394615233E-2,-9.881770134E0
1.392000000E0,-1.113495305E-1,5.537309498E-2,-9.880257607E0
1.395998437E0,-1.205432639E-1,6.359957159E-2,-9.896987915E0
1.399998437E0,-1.256189793E-1,5.483679473E-2,-9.893454552E0
1.403998437E0,-1.270459145E-1,6.087018549E-2,-9.886654854E0
1.408000000E0,-1.167029664E-1,6.612785161E-2,-9.890427589E0
1.411998437E0,-1.186183318E-1,5.611051247E-2,-9.890676498E0
1.415998437E0,-1.029219404E-1,5.830360204E-2,-9.890398979E0
1.420000000E0,-1.096927449E-1,7.072471827E-2,-9.898530006E0
1.424000000E0,-1.183693334E-1,6.600335240E-2,-9.904228210E0
1.427998437E0,-1.014854237E-1,6.424121559E-2,-9.890830040E0
1.431998437E0,-1.063217074E-1,6.119579822E-2,-9.880066872E0
1.436000000E0,-1.193174347E-1,4.530787095E-2,-9.877078056E0
1.440000000E0,-1.190492883E-1,5.732676759E-2,-9.890274048E0
1.443998437E0,-1.181586459E-1,5.736507475E-2,-9.886558533E0
1.447998437E0,-1.033050120E-1,6.616616249E-2,-9.888397217E0
1.452000000E0,-1.150844842E-1,7.025545835E-2,-9.888282776E0
1.456000000E0,-1.226788908E-1,6.766013801E-2,-9.890495300E0
1.459998437E0,-1.181682199E-1,6.809109449E-2,-9.897084236E0
1.463998437E0,-1.185800284E-1,6.217262894E-2,-9.884768486E0
1.468000000E0,-1.081221476E-1,5.781518295E-2,-9.888263702E0
1.471998437E0,-1.168178841E-1,5.368757993E-2,-9.889891624E0
1.475998437E0,-1.172009557E-1,5.160941184E-2,-9.890092850E0
1.479998437E0,-1.238951460E-1,6.408798695E-2,-9.893923759E0
1.484000000E0,-1.102769300E-1,5.432922393E-2,-9.889661789E0
1.487998437E0,-1.185129881E-1,6.698976457E-2,-9.888052940E0
1.491998437E0,-1.166838184E-1,6.512228400E-2,-9.892477989E0
1.495998437E0,-1.164156646E-1,5.633077770E-2,-9.874779701E0
1.500000000E0,-1.204379201E-1,5.600516498E-2,-9.881568909E0
1.503998437E0,-1.121156737E-1,6.092764810E-2,-9.900032997E0
