"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.088510000E-1,-7.504915702E-4,6.283185212E-4,-1.291543595E-3
6.128510000E-1,-4.886921961E-4,4.712388909E-4,-9.599310579E-4
6.168510000E-1,-8.552113432E-4,2.792526793E-4,-8.726646192E-4
6.208510000E-1,-9.599310579E-4,2.443460980E-4,-8.377580671E-4
6.248510000E-1,-8.726646047E-5,-2.094395168E-4,-8.377580671E-4
6.288510000E-1,-4.537856148E-4,1.047197584E-4,-1.134464052E-3
6.328510000E-1,-2.495820867E-3,3.490658492E-5,-4.712388909E-4
6.368510000E-1,1.588249579E-3,-1.047197584E-4,-4.363323096E-4
6.408510000E-1,5.759586347E-4,4.642575979E-3,-7.330382941E-4
6.448510000E-1,-4.363323096E-4,1.815142459E-3,-1.117010717E-3
6.488510000E-1,-5.410520826E-4,6.283185212E-4,-6.108652451E-4
6.528510000E-1,-4.188790335E-4,6.283185212E-4,-1.082104165E-3
6.568510000E-1,-4.014257283E-4,-1.047197584E-4,-1.500983140E-3
6.608510000E-1,-6.806784077E-4,-1.570796303E-4,-1.012290944E-3
6.648510000E-1,-1.570796303E-4,-1.745329209E-4,-8.726646192E-4
6.688510000E-1,-1.745329209E-4,2.617993741E-4,-8.552113432E-4
6.728510000E-1,-3.316125658E-4,-5.235987919E-5,-8.377580671E-4
6.768510000E-1,-8.203047328E-4,1.396263397E-4,-8.377580671E-4
6.808510000E-1,-3.490658419E-4,1.919862116E-4,-8.377580671E-4
6.848510000E-1,-6.981316983E-5,5.061454722E-4,-1.588249579E-3
6.888510000E-1,1.186823938E-3,-2.792526793E-4,-1.186823938E-3
6.928510000E-1,1.570796303E-4,-8.028514567E-4,-1.221730490E-3
6.968510000E-1,-2.443460980E-4,-1.919862116E-4,-1.082104165E-3
7.008510000E-1,-1.919862116E-4,-4.712388909E-4,-9.075712296E-4
7.048510000E-1,-9.250245057E-4,-2.617993741E-4,-8.552113432E-4
7.088510000E-1,-9.773843922E-4,8.726646047E-5,-3.839724232E-4
7.128510000E-1,-2.443460980E-4,-2.443460980E-4,-1.012290944E-3
7.168510000E-1,-2.443460980E-3,8.726646047E-5,-1.029744279E-3
7.208510000E-1,-1.745329246E-5,-4.468042869E-3,0.000000000E0
7.248494370E-1,-5.934119690E-4,-3.839724232E-4,-1.064650831E-3
7.288494370E-1,-1.780235791E-3,-9.773843922E-4,-1.204277156E-3
7.328494370E-1,-1.361356815E-3,5.235987919E-5,-1.082104165E-3
7.368494370E-1,2.216568217E-3,1.745329246E-5,-9.075712296E-4
7.408494370E-1,1.326450263E-3,3.141592606E-4,-5.585053586E-4
7.448494370E-1,-9.948377265E-4,-3.490658492E-5,-6.108652451E-4
7.488510000E-1,1.919862116E-4,0.000000000E0,-7.853981806E-4
7.528494370E-1,-5.235987483E-4,-1.221730490E-4,-1.117010717E-3
7.568494370E-1,-8.726646192E-4,-3.141592606E-4,-1.064650831E-3
7.608494370E-1,8.203047328E-4,3.839724232E-4,-8.901178953E-4
7.648510000E-1,-5.235987483E-4,2.617993741E-4,-8.552113432E-4
7.688510000E-1,-1.780235791E-3,-2.094395168E-4,-8.377580671E-4
7.728494370E-1,-2.967059845E-4,1.047197584E-4,-8.377580671E-4
7.768494370E-1,-2.094395168E-4,1.919862116E-4,-8.377580671E-4
7.808510000E-1,-9.424777818E-4,2.094395168E-4,-1.291543595E-3
