"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.400000000E-1,-1.420000009E-2,-2.799999900E-3,-6.920000166E-2,7.069738490E-2
8.500000000E-1,5.299999844E-3,-1.249999925E-2,-6.920000166E-2,7.051936053E-2
8.600000000E-1,-4.499999806E-3,-2.499999944E-3,-5.939999968E-2,5.962264637E-2
8.700000000E-1,-1.420000009E-2,7.299999706E-3,-6.920000166E-2,7.101809789E-2
8.800000000E-1,-1.420000009E-2,7.499999832E-3,-6.920000166E-2,7.103893460E-2
8.900000000E-1,-4.399999976E-3,-1.999999862E-3,-4.959999770E-2,4.983492521E-2
9.000000000E-1,5.099999718E-3,-1.899999916E-3,-6.920000166E-2,6.941368904E-2
9.100000000E-1,5.099999718E-3,7.999999449E-3,-5.939999968E-2,6.015288813E-2
9.200000000E-1,-1.439999975E-2,7.999999449E-3,-5.939999968E-2,6.164186845E-2
9.300000000E-1,-4.799999762E-3,-1.599999960E-3,-6.920000166E-2,6.938472618E-2
9.400000000E-1,4.900000058E-3,8.200000040E-3,-5.939999968E-2,6.016319442E-2
9.500000000E-1,-1.449999958E-2,8.299999870E-3,-5.939999968E-2,6.170494265E-2
9.600000000E-1,-1.999999862E-3,-8.299999870E-3,-3.979999945E-2,4.070540447E-2
9.700000000E-1,-1.300000004E-3,5.499999970E-3,-4.959999770E-2,4.992093520E-2
9.800000000E-1,-1.099999994E-3,1.069999952E-2,-6.929999590E-2,7.012980409E-2
9.900000000E-1,5.699999630E-3,6.999999750E-4,-5.939999968E-2,5.967696337E-2
1.000000000E0,-3.000000026E-3,-1.339999959E-2,-5.939999968E-2,6.096654780E-2
1.010000000E0,-2.399999881E-3,-9.599999525E-3,-5.939999968E-2,6.021860138E-2
1.020000000E0,-1.899999916E-3,-6.999999750E-3,-5.939999968E-2,5.984120619E-2
1.030000000E0,5.899999756E-3,-5.200000014E-3,-6.920000166E-2,6.964546092E-2
1.040000000E0,4.399999976E-3,-3.899999894E-3,-6.920000166E-2,6.944933569E-2
1.050000000E0,-4.199999850E-3,1.899999939E-2,-5.939999968E-2,6.250599921E-2
1.060000000E0,-3.399999812E-3,-2.999999851E-4,-6.920000166E-2,6.928412681E-2
1.070000000E0,-3.499999875E-3,-9.999999747E-5,-5.939999968E-2,5.950310883E-2
1.080000000E0,-3.499999875E-3,9.899999946E-3,-4.959999770E-2,5.069930739E-2
1.090000000E0,-3.499999875E-3,1.970000006E-2,-5.939999968E-2,6.267934240E-2
1.100000000E0,-1.319999993E-2,9.999999747E-5,-6.920000166E-2,7.044778369E-2
1.110000000E0,6.399999838E-3,3.999999899E-4,-5.939999968E-2,5.974512499E-2
1.120000000E0,-1.319999993E-2,1.030000020E-2,-4.959999770E-2,5.234968743E-2
1.130000000E0,-1.319999993E-2,4.999999655E-4,-5.939999968E-2,6.085104732E-2
1.140000000E0,-1.319999993E-2,1.040000003E-2,-4.959999770E-2,5.236945456E-2
1.150000000E0,-3.499999875E-3,-9.099999443E-3,-6.920000166E-2,6.988347600E-2
1.160000000E0,-2.309999987E-2,5.999999703E-4,-5.939999968E-2,6.373640997E-2
1.170000000E0,-3.599999938E-3,7.999999798E-4,-5.939999968E-2,5.951436769E-2
1.180000000E0,-3.700000001E-3,1.059999969E-2,-5.939999968E-2,6.045171590E-2
1.190000000E0,-3.799999831E-3,8.999999845E-4,-6.920000166E-2,6.931010192E-2
1.200000000E0,5.799999926E-3,8.999999845E-4,-7.899999619E-2,7.921773410E-2
1.210000000E0,-2.300000051E-3,-2.630000003E-2,-6.920000166E-2,7.406497304E-2
1.220000000E0,2.840000018E-2,-1.585000008E-1,-1.573999971E-1,2.251745309E-1
1.230000000E0,-3.130000085E-2,-3.680000082E-2,-3.029999882E-2,5.702648544E-2
1.240000000E0,5.339999869E-2,3.883999884E-1,2.540999949E-1,4.671968731E-1
1.250000000E0,3.299999982E-3,3.684999943E-1,-4.027999938E-1,5.459404462E-1
1.260000000E0,-6.700000167E-2,1.669999957E-2,7.769999653E-2,1.039479662E-1
1.270000000E0,-7.999999798E-4,-9.879999608E-2,-1.084999964E-1,1.467457953E-1
1.280000000E0,8.509999514E-2,1.303000003E-1,-1.040000003E-2,1.559751879E-1
1.290000000E0,-2.799999900E-3,1.709000021E-1,-1.084999964E-1,2.024522164E-1
1.300000000E0,-8.069999516E-2,-6.830000132E-2,-1.079999935E-2,1.062733240E-1
1.310000000E0,4.380000010E-2,1.549999975E-2,-3.029999882E-2,5.546872929E-2
1.320000000E0,9.059999883E-2,5.729999766E-2,-1.379999965E-1,1.747445237E-1
1.330000000E0,9.699999355E-3,2.969999984E-2,3.849999979E-2,4.958255703E-2
1.340000000E0,-4.059999809E-2,-2.039999887E-2,-1.182999983E-1,1.267257251E-1
1.350000000E0,1.399999950E-2,-4.999999655E-4,-2.999999933E-2,3.310966544E-2
1.360000000E0,4.629999772E-2,2.539999969E-2,-1.279999912E-1,1.384660518E-1
1.370003125E0,5.099999718E-3,1.119999960E-2,-4.999999655E-4,1.231665491E-2
1.380000000E0,-2.909999900E-2,-2.369999886E-2,-7.899999619E-2,8.746141598E-2
1.390000000E0,-2.410000004E-2,4.799999762E-3,-5.949999765E-2,6.437468229E-2
