"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.448510000E-1,2.565633971E-3,6.981316837E-4,2.792526793E-4
8.488510000E-1,2.268928103E-3,3.839724232E-4,-4.712388909E-4
8.528510000E-1,1.605702913E-3,3.141592606E-4,-6.806784077E-4
8.568510000E-1,1.867502346E-3,1.343903481E-3,2.967059845E-4
8.608510000E-1,1.186823938E-3,1.623156248E-3,4.188790335E-4
8.648510000E-1,1.623156248E-3,1.239183708E-3,2.967059845E-4
8.688510000E-1,1.727875904E-3,5.235987483E-4,2.617993741E-4
8.728510000E-1,1.762782573E-3,3.490658419E-4,5.585053586E-4
8.768510000E-1,1.605702913E-3,7.504915702E-4,1.221730490E-3
8.808510000E-1,2.024581889E-3,4.014257283E-4,9.599310579E-4
8.848510000E-1,1.378810150E-3,1.064650831E-3,5.759586347E-4
8.888510000E-1,1.518436475E-3,1.099557383E-3,6.283185212E-4
8.928510000E-1,2.146754880E-3,7.853981806E-4,2.094395168E-4
8.968510000E-1,2.321287990E-3,8.726646192E-4,3.839724232E-4
9.008510000E-1,1.448623254E-3,8.901178953E-4,1.396263397E-4
9.048510000E-1,6.283185212E-4,1.343903481E-3,5.235987483E-4
9.088510000E-1,7.155850180E-4,7.155850180E-4,3.141592606E-4
9.128510000E-1,1.797689125E-3,4.014257283E-4,7.155850180E-4
9.168510000E-1,1.169370604E-3,1.972222002E-3,3.665191471E-4
9.208510000E-1,1.605702913E-3,1.623156248E-3,7.330382941E-4
9.248510000E-1,3.665191471E-4,1.239183708E-3,3.665191471E-4
9.288510000E-1,1.919862116E-4,9.773843922E-4,5.759586347E-4
9.328510000E-1,9.075712296E-4,4.712388909E-4,1.535889693E-3
9.368510000E-1,1.239183708E-3,1.239183708E-3,1.343903481E-3
9.408510000E-1,1.780235791E-3,1.291543595E-3,5.235987483E-4
9.448510000E-1,1.308996929E-3,1.902408898E-3,3.141592606E-4
9.488510000E-1,2.094394993E-3,1.151917269E-3,1.012290944E-3
9.528510000E-1,1.553343027E-3,6.632251316E-4,5.934119690E-4
9.568510000E-1,1.413716702E-3,1.588249579E-3,3.316125658E-4
9.608510000E-1,1.815142459E-3,1.518436475E-3,7.155850180E-4
9.648510000E-1,1.623156248E-3,7.679448463E-4,1.413716702E-3
9.688510000E-1,1.727875904E-3,8.552113432E-4,8.552113432E-4
9.728510000E-1,2.356194425E-3,4.363323096E-4,-7.853981806E-4
9.768510000E-1,2.670353744E-3,3.316125658E-4,1.221730490E-4
9.808510000E-1,3.211405827E-3,2.967059845E-4,8.203047328E-4
9.848510000E-1,2.146754880E-3,8.901178953E-4,8.552113432E-4
9.888510000E-1,2.914699726E-3,1.204277156E-3,4.014257283E-4
9.928510000E-1,1.308996929E-3,5.235987483E-4,8.901178953E-4
9.968510000E-1,3.595378250E-3,1.256637042E-3,5.585053586E-4
1.000851000E0,2.391101094E-3,1.134464052E-3,4.886921961E-4
1.004851000E0,1.623156248E-3,8.028514567E-4,-1.221730490E-4
1.008851000E0,1.727875904E-3,8.726646192E-4,1.396263397E-4
1.012851000E0,1.902408898E-3,4.363323096E-4,6.806784077E-4
1.016851000E0,2.094394993E-3,3.316125658E-4,3.665191471E-4
1.020851000E0,3.490658419E-4,1.500983140E-3,-1.570796303E-4
1.024851000E0,1.239183708E-3,7.504915702E-4,1.396263397E-4
1.028851000E0,1.623156248E-3,4.014257283E-4,2.268928074E-4
1.032855687E0,2.478367416E-3,2.565633971E-3,2.443460980E-4
1.036851000E0,1.797689125E-3,3.141592722E-3,2.443460980E-4
1.040851000E0,2.234021435E-3,3.281218931E-3,-1.919862116E-4
1.044851000E0,6.806784077E-4,6.283185212E-4,4.363323096E-4
1.048851000E0,2.792526793E-4,-1.570796361E-3,4.537856148E-4
1.052851000E0,3.141592606E-4,-2.146754880E-3,2.967059845E-4
1.056851000E0,1.535889693E-3,8.726646047E-5,1.012290944E-3
1.060851000E0,2.146754880E-3,2.635447076E-3,1.204277156E-3
1.064851000E0,3.822271014E-3,4.817108624E-3,3.490658419E-4
1.068851000E0,3.351032268E-3,2.967059612E-3,1.221730490E-4
1.072851000E0,8.203047328E-4,8.377580671E-4,3.665191471E-4
1.076851000E0,0.000000000E0,-7.679448463E-4,2.792526793E-4
1.080851000E0,1.308996929E-3,-7.330382941E-4,2.617993741E-4
1.084851000E0,2.234021435E-3,6.108652451E-4,6.981316837E-4
1.088851000E0,3.246312495E-3,2.181661548E-3,3.665191471E-4
1.092851000E0,3.647738136E-3,2.740166849E-3,2.792526793E-4
1.096851000E0,3.159045940E-3,1.082104165E-3,2.617993741E-4
1.100851000E0,1.832595677E-3,1.919862116E-4,2.443460980E-4
1.104851000E0,8.726646192E-4,-6.283185212E-4,6.981316837E-4
1.108851000E0,4.712388909E-4,-8.377580671E-4,6.632251316E-4
1.112851000E0,1.134464052E-3,-1.570796303E-4,1.256637042E-3
1.116851000E0,2.652900526E-3,1.221730490E-3,2.094395168E-4
1.120851000E0,3.508111695E-3,1.727875904E-3,2.443460980E-4
1.124851000E0,3.874630900E-3,2.321287990E-3,6.981316837E-4
1.128851000E0,1.710422686E-3,1.413716702E-3,3.665191471E-4
1.132851000E0,1.151917269E-3,5.759586347E-4,2.792526793E-4
1.136851000E0,1.308996929E-3,-1.570796361E-3,2.617993741E-4
1.140851000E0,1.047197497E-3,-1.396263367E-3,2.443460980E-4
1.144851000E0,1.431170036E-3,4.363323096E-4,-3.490658492E-5
1.148851000E0,2.426007763E-3,2.879793290E-3,1.745329246E-5
1.152851000E0,3.001966281E-3,2.617993858E-3,6.457717973E-4
1.156851000E0,2.984513063E-3,1.343903481E-3,3.490658419E-4
1.160851000E0,1.937315450E-3,7.155850180E-4,2.792526793E-4
1.164851000E0,1.658062800E-3,-3.316125658E-4,2.617993741E-4
1.168851000E0,8.377580671E-4,2.617993741E-4,6.981316837E-4
1.172851000E0,9.250245057E-4,0.000000000E0,8.203047328E-4
1.176851000E0,1.692969352E-3,6.632251316E-4,4.014257283E-4
1.180851000E0,1.745329238E-3,3.839724232E-4,2.792526793E-4
1.184851000E0,3.577925032E-3,1.815142459E-3,7.155850180E-4
1.188851000E0,2.827433404E-3,1.431170036E-3,3.665191471E-4
1.192851000E0,2.356194425E-3,2.094394993E-3,2.792526793E-4
1.196851000E0,1.919862116E-3,1.518436475E-3,-4.712388909E-4
1.200851000E0,1.954768784E-3,-4.363323096E-4,-5.410520826E-4
1.204851000E0,1.815142459E-3,5.410520826E-4,3.490658492E-5
1.208851000E0,3.124139272E-3,1.099557383E-3,6.457717973E-4
1.212851000E0,3.019419499E-3,2.007128671E-3,3.490658419E-4
1.216851000E0,2.844886621E-3,1.186823938E-3,7.330382941E-4
1.220851000E0,2.199114766E-3,6.632251316E-4,-2.094395168E-4
1.224851000E0,9.773843922E-4,8.726646047E-5,2.792526793E-4
1.228851000E0,1.099557383E-3,8.726646047E-5,2.617993741E-4
1.232851000E0,1.291543595E-3,2.268928074E-4,2.443460980E-4
1.236851000E0,2.391101094E-3,2.617993741E-4,6.981316837E-4
1.240851000E0,2.827433404E-3,1.326450263E-3,3.665191471E-4
1.244851000E0,2.338741207E-3,8.552113432E-4,2.792526793E-4
1.248851000E0,1.919862116E-3,1.396263397E-4,-3.490658492E-5
1.252851000E0,9.075712296E-4,3.839724232E-4,4.712388909E-4
1.256851000E0,1.082104165E-3,1.570796303E-4,1.064650831E-3
1.260851000E0,1.588249579E-3,6.981316837E-4,6.108652451E-4
1.264851000E0,1.727875904E-3,3.263765713E-3,7.853981806E-4
1.268851000E0,6.981316837E-4,1.204277156E-3,3.839724232E-4
1.272851000E0,1.483529806E-3,-5.235987919E-5,5.759586347E-4
1.276851000E0,-8.726646047E-5,-1.605702913E-3,7.853981806E-4
1.280851000E0,-6.981316983E-5,-6.457717973E-4,5.410520826E-4
1.284851000E0,-2.094395168E-4,4.241149873E-3,3.316125658E-4
1.288851000E0,1.239183708E-3,7.033676840E-3,2.617993741E-4
1.292851000E0,5.532693584E-3,1.692969352E-2,2.443460980E-4
1.296851000E0,1.869247667E-2,3.998549283E-2,2.059488557E-3
1.300851000E0,3.837978840E-2,7.625343651E-2,1.780235791E-3
1.304851000E0,5.602506921E-2,1.047197580E-1,2.600540640E-3
1.308851000E0,5.974261835E-2,1.113869101E-1,2.809980186E-3
1.312851000E0,5.195845291E-2,9.566149861E-2,3.333578818E-3
1.316851000E0,3.548254445E-2,6.520549953E-2,1.658062800E-3
1.320851000E0,1.747074537E-2,3.466223925E-2,7.679448463E-4
1.324851000E0,8.709193207E-3,1.795943826E-2,3.839724232E-4
1.328851000E0,8.691739291E-3,1.527163107E-2,2.792526793E-4
1.332851000E0,1.260127686E-2,2.420771681E-2,1.169370604E-3
1.336851000E0,1.843067631E-2,3.181735054E-2,7.853981806E-4
1.340851000E0,1.982693933E-2,3.080506064E-2,5.410520826E-4
1.344851000E0,1.385791413E-2,1.877974346E-2,3.316125658E-4
1.348851000E0,5.515240598E-3,7.958701812E-3,2.617993741E-4
1.352851000E0,2.740166849E-3,4.241149873E-3,2.443460980E-4
1.356851000E0,5.916666240E-3,9.878563695E-3,2.443460980E-4
1.360851000E0,1.143190637E-2,1.919862255E-2,9.948377265E-4
1.364851000E0,1.467821933E-2,2.539454028E-2,1.396263397E-4
1.368851000E0,1.581268385E-2,2.324778587E-2,2.268928074E-4
1.372851000E0,1.146681327E-2,1.514945831E-2,2.443460980E-4
1.376851000E0,5.637413356E-3,7.923794910E-3,2.443460980E-4
1.380851000E0,3.822271014E-3,7.679448463E-3,2.443460980E-4
1.384851000E0,6.824237294E-3,1.078613475E-2,2.443460980E-4
1.388851000E0,9.564404376E-3,1.642354764E-2,2.443460980E-4
1.392851000E0,8.464846760E-3,1.398008689E-2,2.443460980E-4
1.396851000E0,7.417649496E-3,8.674286306E-3,2.443460980E-4
1.400851000E0,5.201081280E-3,5.026548170E-3,2.443460980E-4
1.404851000E0,4.764748737E-3,4.084070213E-3,1.151917269E-3
1.408851000E0,4.956734832E-3,5.777040031E-3,4.886921961E-4
1.412851000E0,7.103490178E-3,6.841690745E-3,1.064650831E-3
1.416851000E0,9.930923581E-3,9.965829551E-3,3.141592606E-4
1.420851000E0,1.036725566E-2,1.471312530E-2,8.552113432E-4
1.424851000E0,9.285151958E-3,1.443387289E-2,2.617993741E-4
1.428851000E0,9.599311277E-3,1.315978263E-2,4.014257283E-4
1.432854125E0,7.871435024E-3,1.176351868E-2,4.363323096E-4
1.436851000E0,6.824237294E-3,8.691739291E-3,2.967059845E-4
1.440851000E0,9.843656793E-3,5.934119225E-3,7.155850180E-4
1.444851000E0,6.143558770E-3,5.829399452E-3,1.117010717E-3
1.448851000E0,8.464846760E-3,6.544984877E-3,9.250245057E-4
